Mods count: 104
 
                                jar name                                  |    notes     |            mod id            |                 mod name                 |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
--------------------------------------------------------------------------+--------------+------------------------------+------------------------------------------+------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.10.jar (modloader)                                  |              | forge                        | forge                                    | fmlloader-1.20.1-47.4.10.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
[1.20.1-forge]-Epic-Knights-Ores-and-Alloys-1.1.jar                       | MCreator mod | epic_knights_ores_and_alloys | Epic Knights: Ores and Alloys            | 1.1                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | f518c42c64f472e464adc067da389c0797af141b | 3297676571     
[1.20.x-forge]-Epic-Knights-Antique-Legacy-1.8.jar                        |              | antiquelegacy                | Epic Knights: Antique Legacy             | 1.8                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 077ed91caf52c2f61cd16e43e33597cf0e119d7c | 3612085302     
AdvancedTFCTech-1.20.1-2.3.jar                                            |              | advancedtfctech              | Advanced TFC Tech Unofficial             | 2.3                          | AdvancedTFCTech.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | dd953d3843d5cc01241ee302b6286a896c2b9b74 | 740468244      
alekiNiftyShips-FORGE-1.20.1-1.0.14.jar                                   |              | alekiships                   | aleki's Nifty Ships                      | 1.0.14                       | alekiships.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | c42aaab43cd524c45c4065996cc06b9b48c5682a | 370185248      
Antique Atlas-1.20.1-8.0.1-Forge.jar                                      |              | antiqueatlas                 | Antique Atlas                            | 8.0.1                        | antiqueatlas.mixins.json, antiqueatlas-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | fc79832311c4d9df50e356d512abf01e8a2b58c4 | 3985194667     
architectury-9.2.14-forge.jar                                             |              | architectury                 | Architectury                             | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
astikorcarts-1.20.1-1.1.8.jar                                             |              | astikorcarts                 | AstikorCarts Redux                       | 1.1.8                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 49a8ac1c23282fe86420f0b4527e522421f2f692 | 3288389065     
baguettelib-1.20.1-Forge-1.1.6.jar                                        |              | baguettelib                  | BaguetteLib                              | 1.1.6                        | baguettelib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 8d3c9551bbed4c2f2e8cb2b9a10d31bad4edb52d | 2947245849     
